m2011.3,,,,,,,,只增不减,注释,坏帐
,1,,,,,,,,a,0
,,10,午饭,,,,,,a,0
,,5,馒头,,,,,,a,0
,,,,,,252,,,a,0
,,,,2000,交行信用卡,,5060,,a,0
,2,,,,,,,,a,0
,,2,早饭,,,,,,a,0
,,10,午饭,,,,,,a,1
,,10,买菜,,,230,,,a,2
,3,,,,,,,,a,0
,,,,3580,,,1480,,a,0
,,,,,,780,930,,a,0
,,,,200,招商打卡,,,,a,0
,,,,110,槟榔,,,,a,0
,,,,35,魔方,,,,a,0
,,,,,,,,,a,0
,,4,饮料,,,,,,a,0
,4,,,,,429,,,a,-2
,,5,包子,,,,,,a,0
,,8,买菜,,,,,,a,0
,,,,,,416,,,a,0
,5,,,,,,,,a,0
,,2,早饭,,,,,,a,0
,,10,午饭,,,,,,a,0
,,2,馒头,,,,,,a,0
,,8,买菜,,,,,,a,0
,,,,,,396,,,a,0
,6,,,,,,,,a,0
,,2,早饭,,,,,,a,0
,,13,午饭,,,,,,a,0
,,5.5,葡萄,,,,,,a,0
,,6,枣,,,,,,a,0
,,3,面筋,,,365,,,a,-1.5
,7,,,,,,,,a,0
,,12,午饭,,,,,,a,0
,,3,鸡蛋饼,,,,,,a,0
,,10,晚饭,,,,,,a,0
,,,,140,招商打卡,,,,a,0
,,,,,,200,,,a,0
,,,,,,1200,930,28977,发月钱了,0
,8,,,,,,,,a,0
,,2,早饭,,,,,,a,0
,,14,买菜,,,,,,a,0
,,2,馒头,,,,,,a,0
,,,,,,1182,,,a,0
,9,,,,,,,,a,0
,,2,早饭,,,,,,a,0
,,10,午饭,,,,,,a,0
,,,,,,1170,,,a,0
,12,,,,,,,,a,0
,,,,500,招商打卡,,,,a,0
,,,,460,助听器,,,,a,0
,,,,22,自行车,,,,轮胎车闸,0
,,20,火腿,,,,,,a,0
,,2,馒头,,,,,,a,0
,,,,100,入包装,,,,a,0
,,,,,,66,,,a,0
,13,,,,,,,,a,0
,,2,早饭,,,,,,a,0
,,10,午饭,,,,,,a,0
,,12,晚饭,,,,,,a,0
,,,,15,溃疡药,22,,,a,-5
,,,,,,522,430,,a,0
,14,,,,,,,,a,0
,,2,早饭,,,,,,a,0
,,12,午饭,,,,,,a,0
,,,,,,508,,,a,0
,15,,,,,,,,a,0
,,2,早饭,,,,,,a,0
,,10,午饭,,,,,,a,0
,,10,买菜,,,,,,a,0
,,,,,,486,,,a,0
,16,,,,,,,,a,0
,,2,早饭,,,,,,a,0
,,12,午饭,,,,,,a,0
,,10,买菜,,,462,,,a,0
,18,,,,,,,,a,0
,,,,25,门票,,,,a,0
,19,,,,,,,,a,0
,,4,早饭,,,,,,a,0
,,11,午饭,,,,,,a,0
,,15,晚饭,,,,,,a,0
,,4,买菜,200,招商打卡,,,,a,0
,,,,,,203,,,a,0
,20,,,,,,,,a,0
,,2,早饭,,,,,,a,0
,,9,午饭,,,,,,a,0
,,10,买菜,,,,,,a,0
,,2,馒头,,,,,,a,0
,,,,,,180,,,a,0
,21,,,,,,,,a,0
,,2,早饭,,,,,,a,0
,,12,午饭,,,,,,a,0
,,8.5,买菜,,,,,,a,0
,,2,馒头,40,腰带,115.5,,,a,0
,22,,,,,,,,a,0
,,2,早饭,,,,,,a,0
